id,name,team,position,price,start_prob,goal_share,assist_share,saves_p90,yellow_p90,ownership,pen_taker,avg_points,total_points
1137,Michel Aebischer,Switzerland,MID,5.9,0.45,0.0423,0.0625,0.0,0.15,0.0,0,0,0
1138,Remo Freuler,Switzerland,MID,5.9,0.12,0.0423,0.0625,0.0,0.15,0.0,0,0,0
1133,Johan Manzambi,Switzerland,MID,5.6,0.9,0.0423,0.0625,0.0,0.15,0.001,0,0,0
1139,Ardon Jashari,Switzerland,MID,5.2,0.12,0.0423,0.0625,0.0,0.15,0.0,0,0,0
164,Gabriel Magalhães,Brazil,DEF,5.5,0.9,0.0131,0.0217,0.0,0.15,0.248,0,0,0
165,Marquinhos,Brazil,DEF,5.2,0.9,0.0131,0.0217,0.0,0.15,0.069,0,0,0
1346,Wesley,Brazil,DEF,4.5,0.9,0.0131,0.0217,0.0,0.15,0.02,0,0,0
1345,Alex Sandro,Brazil,DEF,4.5,0.9,0.0131,0.0217,0.0,0.15,0.007,0,0,0
166,Ibañez,Brazil,DEF,4.4,0.12,0.0131,0.0217,0.0,0.15,0.002,0,0,0
167,Danilo,Brazil,DEF,4.3,0.45,0.0131,0.0217,0.0,0.15,0.005,0,0,0
168,Douglas Santos,Brazil,DEF,4.3,0.12,0.0131,0.0217,0.0,0.15,0.001,0,0,0
169,Bremer,Brazil,DEF,4.3,0.45,0.0131,0.0217,0.0,0.15,0.006,0,0,0
170,Léo Pereira,Brazil,DEF,4.2,0.12,0.0131,0.0217,0.0,0.15,0.001,0,0,0
174,Matheus Cunha,Brazil,FWD,7.3,0.9,0.098,0.0435,0.0,0.15,0.037,0,0,0
177,Luiz Henrique,Brazil,FWD,6.1,0.45,0.098,0.0435,0.0,0.15,0.002,0,0,0
178,Igor Thiago,Brazil,FWD,5.9,0.9,0.098,0.0435,0.0,0.15,0.027,0,0,0
179,Rayan,Brazil,FWD,5.6,0.12,0.098,0.0435,0.0,0.15,0.002,0,0,0
181,Endrick,Brazil,FWD,5.5,0.45,0.098,0.0435,0.0,0.15,0.017,0,0,0
182,Ederson,Brazil,GK,5.0,0.45,0.0,0.0,3.0,0.08,0.038,0,0,0
183,Alisson Becker,Brazil,GK,5.0,0.9,0.0,0.0,3.0,0.08,0.056,0,0,0
1343,Weverton,Brazil,GK,4.5,0.45,0.0,0.0,3.0,0.08,0.001,0,0,0
173,Vinícius Júnior,Brazil,MID,10.0,0.9,0.0436,0.0652,0.0,0.15,0.142,0,0,0
1366,Raphinha,Brazil,MID,8.2,0.9,0.0436,0.0652,0.0,0.15,0.214,0,0,0
1369,Neymar,Brazil,MID,7.2,0.9,0.0436,0.0652,0.0,0.15,0.034,0,0,0
1361,Bruno Guimarães,Brazil,MID,6.8,0.45,0.0436,0.0652,0.0,0.15,0.017,0,0,0
190,Lucas Paquetá,Brazil,MID,6.5,0.12,0.0436,0.0652,0.0,0.15,0.005,0,0,0
176,Gabriel Martinelli,Brazil,MID,6.5,0.45,0.0436,0.0652,0.0,0.15,0.007,0,0,0
188,Casemiro,Brazil,MID,6.3,0.9,0.0436,0.0652,0.0,0.15,0.023,0,0,0
187,Danilo,Brazil,MID,5.6,0.12,0.0436,0.0652,0.0,0.15,0.002,0,0,0
186,Fabinho,Brazil,MID,5.2,0.12,0.0436,0.0652,0.0,0.15,0.002,0,0,0
574,Jean-Kévin Duverne,Haiti,DEF,3.8,0.45,0.0105,0.0227,0.0,0.15,0.0,0,0,0
575,Carlens Arcus,Haiti,DEF,3.8,0.45,0.0105,0.0227,0.0,0.15,0.0,0,0,0
576,Hannes Delcroix,Haiti,DEF,3.7,0.12,0.0105,0.0227,0.0,0.15,0.0,0,0,0
1538,Keeto Thermoncy,Haiti,DEF,3.5,0.9,0.0105,0.0227,0.0,0.15,0.001,0,0,0
577,Ricardo Adé,Haiti,DEF,3.5,0.9,0.0105,0.0227,0.0,0.15,0.001,0,0,0
